ClusterID NumberOfMembers Genes Species
75163006 NA Solyc01g005755.1 Sly
75163006 NA Solyc01g005755.1 Sly
75163006 NA Solyc01g005775.1 Sly
75163006 NA Solyc01g005775.1 Sly
75163006 NA Solyc01g005775.1 Sly
75163006 NA Solyc01g005865.1 Sly
75163006 NA Solyc01g005865.1 Sly
75162992 NA Solyc01g005895.1 Sly
75163006 NA Solyc01g006545.1 Sly
75163006 NA Solyc01g006545.1 Sly
75162837 NA Solyc01g006565.1 Sly
75162837 NA Solyc01g006565.1 Sly
75163001 NA Solyc01g006575.1 Sly
75152884 NA Solyc01g006575.1 Sly
75162761 NA Solyc01g006665.1 Sly
75162761 NA Solyc01g006665.1 Sly
75153950 NA Solyc01g006735.1 Sly
75159151 NA Solyc01g006755.1 Sly
75161413 NA Solyc01g006825.1 Sly
75161413 NA Solyc01g006825.1 Sly
75162782 NA Solyc01g006993.1 Sly
75162782 NA Solyc01g006993.1 Sly
75162782 NA Solyc01g006993.1 Sly
75162782 NA Solyc01g006997.1 Sly
75162782 NA Solyc01g006997.1 Sly
75162782 NA Solyc01g006997.1 Sly
75162860 NA Solyc01g007025.1 Sly
75162860 NA Solyc01g007025.1 Sly
75160431 NA Solyc01g007265.1 Sly
75146891 NA Solyc01g007265.1 Sly
75162232 NA Solyc01g007855.1 Sly
75162232 NA Solyc01g007855.1 Sly
75155057 NA Solyc01g007895.1 Sly
75159055 NA Solyc01g007955.1 Sly
75159055 NA Solyc01g007955.1 Sly
75160320 NA Solyc01g008005.1 Sly
75160320 NA Solyc01g008005.1 Sly
75158541 NA Solyc01g008115.1 Sly
75163005 NA Solyc01g008405.1 Sly
75157116 NA Solyc01g008415.1 Sly
75157116 NA Solyc01g008415.1 Sly
75159354 NA Solyc01g008485.1 Sly
75162379 NA Solyc01g008493.1 Sly
75116030 NA Solyc01g008497.1 Sly
75163006 NA Solyc01g008497.1 Sly
75163006 NA Solyc01g008497.1 Sly
75163006 NA Solyc01g008497.1 Sly
75136203 NA Solyc01g008497.1 Sly
75157044 NA Solyc01g008925.1 Sly
75162148 NA Solyc01g008973.1 Sly
75162148 NA Solyc01g008977.1 Sly
75162148 NA Solyc01g008977.1 Sly
75158212 NA Solyc01g009015.1 Sly
75160870 NA Solyc01g009215.1 Sly
75161542 NA Solyc01g009235.1 Sly
75161542 NA Solyc01g009235.1 Sly
75154102 NA Solyc01g009245.1 Sly
75160233 NA Solyc01g009335.1 Sly
75163006 NA Solyc01g009565.1 Sly
75163006 NA Solyc01g009565.1 Sly
75162979 NA Solyc01g009635.1 Sly
75162979 NA Solyc01g009635.1 Sly
75162979 NA Solyc01g009635.1 Sly
75162979 NA Solyc01g009635.1 Sly
75163002 NA Solyc01g009645.1 Sly
75163002 NA Solyc01g009645.1 Sly
75162837 NA Solyc01g009695.1 Sly
75153593 NA Solyc01g009715.1 Sly
75154616 NA Solyc01g009845.1 Sly
75161229 NA Solyc01g009935.1 Sly
75162573 NA Solyc01g010055.1 Sly
75162573 NA Solyc01g010055.1 Sly
75162573 NA Solyc01g010055.1 Sly
75135827 NA Solyc01g010083.1 Sly
75157859 NA Solyc01g010087.1 Sly
75162368 NA Solyc01g010135.1 Sly
75162368 NA Solyc01g010135.1 Sly
75159293 NA Solyc01g010295.1 Sly
75159293 NA Solyc01g010295.1 Sly
75145523 NA Solyc01g010295.1 Sly
75145463 NA Solyc01g010315.1 Sly
75162735 NA Solyc01g010393.1 Sly
75162735 NA Solyc01g010397.1 Sly
75156278 NA Solyc01g010465.1 Sly
74535607 NA Solyc01g010497.1 Sly
75162953 NA Solyc01g010502.1 Sly
75162953 NA Solyc01g010504.1 Sly
75163005 NA Solyc01g010508.1 Sly
75162953 NA Solyc01g010793.1 Sly
75162953 NA Solyc01g010797.1 Sly
75161381 NA Solyc01g010835.1 Sly
75162923 NA Solyc01g010937.1 Sly
75162719 NA Solyc01g011091.1 Sly
75162719 NA Solyc01g011092.1 Sly
74536847 NA Solyc01g011092.1 Sly
75162719 NA Solyc01g011093.1 Sly
75153580 NA Solyc01g011095.1 Sly
75162987 NA Solyc01g011096.1 Sly
75152830 NA Solyc01g011097.1 Sly
75152830 NA Solyc01g011098.1 Sly
75162987 NA Solyc01g011225.1 Sly
75162987 NA Solyc01g011237.1 Sly
75162987 NA Solyc01g011333.1 Sly
75153258 NA Solyc01g011333.1 Sly
75153258 NA Solyc01g011335.1 Sly
75152493 NA Solyc01g011415.1 Sly
75152014 NA Solyc01g011497.1 Sly
75160715 NA Solyc01g013885.1 Sly
75160715 NA Solyc01g013895.1 Sly
75161198 NA Solyc01g013895.1 Sly
75162553 NA Solyc01g013915.1 Sly
74536811 NA Solyc01g013995.1 Sly
75162978 NA Solyc01g014065.1 Sly
75161340 NA Solyc01g014103.1 Sly
75163006 NA Solyc01g014143.1 Sly
75163006 NA Solyc01g014147.1 Sly
75163006 NA Solyc01g014147.1 Sly
75153652 NA Solyc01g014185.1 Sly
75161594 NA Solyc01g014225.1 Sly
75161594 NA Solyc01g014225.1 Sly
75161340 NA Solyc01g014375.1 Sly
74537626 NA Solyc01g014393.1 Sly
75156430 NA Solyc01g014495.1 Sly
75162641 NA Solyc01g014535.1 Sly
75162641 NA Solyc01g014536.1 Sly
75162641 NA Solyc01g014537.1 Sly
75161774 NA Solyc01g150000.2 Sly
75162641 NA Solyc01g150003.1 Sly
75162641 NA Solyc01g150003.1 Sly
75162481 NA Solyc01g150007.1 Sly
75162395 NA Solyc01g014561.1 Sly
75162641 NA Solyc01g014562.1 Sly
75162641 NA Solyc01g014562.1 Sly
75162395 NA Solyc01g014564.1 Sly
75157376 NA Solyc01g014564.1 Sly
75149744 NA Solyc01g014564.1 Sly
75143316 NA Solyc01g014564.1 Sly
75162641 NA Solyc01g014566.1 Sly
75162641 NA Solyc01g014566.1 Sly
75162641 NA Solyc01g014568.1 Sly
75162641 NA Solyc01g014568.1 Sly
75162641 NA Solyc01g014623.1 Sly
75162481 NA Solyc01g014655.1 Sly
75151128 NA Solyc01g014705.1 Sly
75139249 NA Solyc01g014715.1 Sly
75157376 NA Solyc01g014715.1 Sly
75143316 NA Solyc01g014715.1 Sly
75161672 NA Solyc01g014725.1 Sly
75145108 NA Solyc01g016413.1 Sly
75158440 NA Solyc01g016413.1 Sly
75162798 NA Solyc01g016435.1 Sly
75158806 NA Solyc01g016455.1 Sly
75163001 NA Solyc01g016633.1 Sly
75145485 NA Solyc01g016633.1 Sly
75150560 NA Solyc01g016633.1 Sly
75150560 NA Solyc01g016637.1 Sly
75043090 NA Solyc01g016645.1 Sly
75162307 NA Solyc01g016655.1 Sly
75158777 NA Solyc01g016985.1 Sly
75153142 NA Solyc01g017083.1 Sly
75152680 NA Solyc01g017087.1 Sly
75160555 NA Solyc01g017183.1 Sly
75157840 NA Solyc01g017187.1 Sly
75151374 NA Solyc01g017235.1 Sly
74537593 NA Solyc01g017235.1 Sly
NA NA Solyc01g017235.1 Sly
75151374 NA Solyc01g017245.1 Sly
74537593 NA Solyc01g017245.1 Sly
75151808 NA Solyc01g017245.1 Sly
75152593 NA Solyc01g017333.1 Sly
75152365 NA Solyc01g017333.1 Sly
75151795 NA Solyc01g017337.1 Sly
75162935 NA Solyc01g017563.1 Sly
75156794 NA Solyc01g017567.1 Sly
75162981 NA Solyc01g017793.1 Sly
75145344 NA Solyc01g017793.1 Sly
75160882 NA Solyc01g017797.1 Sly
75162981 NA Solyc01g017823.1 Sly
75145356 NA Solyc01g017823.1 Sly
75159218 NA Solyc01g017827.1 Sly
75162629 NA Solyc01g018025.1 Sly
75158504 NA Solyc01g018025.1 Sly
75149143 NA Solyc01g020115.1 Sly
75160262 NA Solyc01g020125.1 Sly
75160262 NA Solyc01g020125.1 Sly
75143988 NA Solyc01g020376.1 Sly
75162982 NA Solyc01g020378.1 Sly
75162821 NA Solyc01g020401.1 Sly
75162821 NA Solyc01g020402.1 Sly
75162821 NA Solyc01g020403.1 Sly
75162821 NA Solyc01g020404.1 Sly
75162821 NA Solyc01g020406.1 Sly
75162821 NA Solyc01g020408.1 Sly
75154494 NA Solyc01g020525.1 Sly
75153682 NA Solyc01g034063.1 Sly
75154889 NA Solyc01g034155.1 Sly
75162981 NA Solyc01g028987.1 Sly
75145344 NA Solyc01g028987.1 Sly
75162629 NA Solyc01g028805.1 Sly
75161397 NA Solyc01g044307.1 Sly
75161397 NA Solyc01g044307.1 Sly
75161397 NA Solyc01g044307.1 Sly
75160093 NA Solyc01g044371.1 Sly
75160093 NA Solyc01g044371.1 Sly
75160093 NA Solyc01g044372.1 Sly
75153652 NA Solyc01g044373.1 Sly
75162927 NA Solyc01g044565.1 Sly
75157334 NA Solyc01g047593.1 Sly
75157334 NA Solyc01g047597.1 Sly
74534702 NA Solyc01g047597.1 Sly
75158019 NA Solyc01g049685.1 Sly
75143988 NA Solyc01g049743.1 Sly
75163003 NA Solyc01g049745.1 Sly
75143988 NA Solyc01g049747.1 Sly
75163003 NA Solyc01g049765.1 Sly
75163003 NA Solyc01g049775.1 Sly
75163003 NA Solyc01g049775.1 Sly
75163003 NA Solyc01g049775.1 Sly
75153764 NA Solyc01g049825.1 Sly
75042901 NA Solyc01g049845.1 Sly
75154494 NA Solyc01g049912.1 Sly
75154494 NA Solyc01g049914.1 Sly
75152622 NA Solyc01g049925.1 Sly
75162923 NA Solyc01g049975.1 Sly
75145449 NA Solyc01g056625.1 Sly
75129720 NA Solyc01g056725.1 Sly
75160892 NA Solyc01g056795.1 Sly
75153405 NA Solyc01g056795.1 Sly
75162759 NA Solyc01g056795.1 Sly
75153258 NA Solyc01g056883.1 Sly
75151462 NA Solyc01g056915.1 Sly
75162117 NA Solyc01g057275.1 Sly
75162117 NA Solyc01g057275.1 Sly
75160596 NA Solyc01g057355.1 Sly
75161982 NA Solyc01g057465.1 Sly
75156269 NA Solyc01g057477.1 Sly
75162821 NA Solyc01g057525.1 Sly
75162821 NA Solyc01g057525.1 Sly
75156493 NA Solyc01g057705.1 Sly
75162923 NA Solyc01g057745.1 Sly
75162923 NA Solyc01g057747.1 Sly
75159227 NA Solyc01g057852.1 Sly
75159227 NA Solyc01g057852.1 Sly
75163001 NA Solyc01g058323.1 Sly
75163001 NA Solyc01g058327.1 Sly
75162995 NA Solyc01g058367.1 Sly
75162923 NA Solyc01g058595.1 Sly
75162687 NA Solyc01g058675.1 Sly
75162687 NA Solyc01g058675.1 Sly
75155833 NA Solyc01g058735.1 Sly
75163000 NA Solyc01g059847.1 Sly
75162135 NA Solyc01g059853.1 Sly
75162882 NA Solyc01g059884.1 Sly
74534791 NA Solyc01g059886.1 Sly
75162882 NA Solyc01g059888.1 Sly
75162919 NA Solyc01g059965.1 Sly
75145463 NA Solyc01g059967.1 Sly
75163001 NA Solyc01g060045.1 Sly
75163001 NA Solyc01g060047.1 Sly
75152491 NA Solyc01g060085.1 Sly
75145009 NA Solyc01g060205.1 Sly
74536627 NA Solyc01g060205.1 Sly
75154780 NA Solyc01g060245.1 Sly
75162938 NA Solyc01g060281.1 Sly
75162938 NA Solyc01g060281.1 Sly
75162938 NA Solyc01g060282.1 Sly
75162938 NA Solyc01g060282.1 Sly
75162938 NA Solyc01g060284.1 Sly
75162938 NA Solyc01g060284.1 Sly
75162938 NA Solyc01g060286.1 Sly
75162938 NA Solyc01g060288.1 Sly
75162938 NA Solyc01g060288.1 Sly
75162938 NA Solyc01g060312.1 Sly
75162938 NA Solyc01g060312.1 Sly
75162938 NA Solyc01g060314.1 Sly
75162991 NA Solyc01g060314.1 Sly
75162938 NA Solyc01g060314.1 Sly
75162938 NA Solyc01g060316.1 Sly
75162938 NA Solyc01g060316.1 Sly
75162211 NA Solyc01g060355.1 Sly
75161559 NA Solyc01g060415.1 Sly
75153960 NA Solyc01g060415.1 Sly
75160650 NA Solyc01g060415.1 Sly
75143633 NA Solyc01g060455.1 Sly
75162721 NA Solyc01g065495.1 Sly
75042978 NA Solyc01g065495.1 Sly
75162721 NA Solyc01g065495.1 Sly
75157840 NA Solyc01g065575.1 Sly
75160555 NA Solyc01g065577.1 Sly
75152593 NA Solyc01g065593.1 Sly
75152593 NA Solyc01g065597.1 Sly
75152507 NA Solyc01g065795.1 Sly
75160558 NA Solyc01g065847.1 Sly
75163003 NA Solyc01g066105.1 Sly
75149622 NA Solyc01g066453.1 Sly
75162874 NA Solyc01g066453.1 Sly
75162874 NA Solyc01g066457.1 Sly
75162874 NA Solyc01g066457.1 Sly
75154735 NA Solyc01g066513.1 Sly
75154735 NA Solyc01g066515.1 Sly
75154735 NA Solyc01g066517.1 Sly
75162509 NA Solyc01g066525.1 Sly
75159454 NA Solyc01g066613.1 Sly
75162718 NA Solyc01g066795.1 Sly
75151290 NA Solyc01g066795.1 Sly
75116210 NA Solyc01g066917.1 Sly
75162533 NA Solyc01g066957.1 Sly
75162533 NA Solyc01g066957.1 Sly
75053155 NA Solyc01g066957.1 Sly
75162999 NA Solyc01g067025.1 Sly
75160859 NA Solyc01g067103.1 Sly
75160859 NA Solyc01g067125.1 Sly
75155169 NA Solyc01g067147.1 Sly
75162952 NA Solyc01g067165.1 Sly
75162952 NA Solyc01g067165.1 Sly
75160859 NA Solyc01g067215.1 Sly
75160859 NA Solyc01g067273.1 Sly
75160859 NA Solyc01g067275.1 Sly
75160859 NA Solyc01g067277.1 Sly
75159151 NA Solyc01g067417.1 Sly
75158811 NA Solyc01g067905.1 Sly
75156116 NA Solyc01g067945.1 Sly
75162741 NA Solyc01g068065.1 Sly
75154085 NA Solyc01g068263.1 Sly
75154085 NA Solyc01g068267.1 Sly
75162419 NA Solyc01g068365.1 Sly
75154026 NA Solyc01g068475.1 Sly
75162959 NA Solyc01g068545.1 Sly
75162959 NA Solyc01g068545.1 Sly
75148940 NA Solyc01g079235.1 Sly
74535315 NA Solyc01g079235.1 Sly
75145331 NA Solyc01g079375.1 Sly
75161161 NA Solyc01g079385.1 Sly
75157533 NA Solyc01g079425.1 Sly
75161482 NA Solyc01g079507.1 Sly
75160278 NA Solyc01g080363.1 Sly
75155154 NA Solyc01g080363.1 Sly
75162859 NA Solyc01g080367.1 Sly
75153665 NA Solyc01g080415.1 Sly
75157874 NA Solyc01g080705.1 Sly
75122624 NA Solyc01g080705.1 Sly
75162938 NA Solyc01g080783.1 Sly
75162938 NA Solyc01g080787.1 Sly
75162938 NA Solyc01g080787.1 Sly
75158288 NA Solyc01g081115.1 Sly
75162738 NA Solyc01g081173.1 Sly
75162738 NA Solyc01g081173.1 Sly
75162738 NA Solyc01g081173.1 Sly
75129805 NA Solyc01g081173.1 Sly
75155105 NA Solyc01g081177.1 Sly
75160984 NA Solyc01g081293.1 Sly
75158108 NA Solyc01g081297.1 Sly
75153434 NA Solyc01g081545.1 Sly
75162844 NA Solyc01g073695.1 Sly
75162844 NA Solyc01g073695.1 Sly
75162844 NA Solyc01g073695.1 Sly
75162702 NA Solyc01g073755.1 Sly
75162702 NA Solyc01g073755.1 Sly
75162882 NA Solyc01g074065.1 Sly
75153652 NA Solyc01g086755.1 Sly
75162996 NA Solyc01g086845.1 Sly
75163006 NA Solyc01g086925.1 Sly
75156700 NA Solyc01g086953.1 Sly
75152532 NA Solyc01g086957.1 Sly
75162084 NA Solyc01g086995.1 Sly
75162983 NA Solyc01g087003.1 Sly
75162983 NA Solyc01g087007.1 Sly
75162983 NA Solyc01g087007.1 Sly
75153061 NA Solyc01g087095.1 Sly
75158933 NA Solyc01g087332.1 Sly
75158933 NA Solyc01g087332.1 Sly
75158779 NA Solyc01g087336.1 Sly
74535824 NA Solyc01g087338.1 Sly
75162887 NA Solyc01g087338.1 Sly
75158933 NA Solyc01g087385.1 Sly
75158933 NA Solyc01g087385.1 Sly
75158779 NA Solyc01g087415.1 Sly
75159550 NA Solyc01g087565.1 Sly
75162175 NA Solyc01g087775.1 Sly
75153108 NA Solyc01g087775.1 Sly
75162830 NA Solyc01g087785.1 Sly
75161209 NA Solyc01g088005.1 Sly
75157872 NA Solyc01g088245.1 Sly
75160316 NA Solyc01g088323.1 Sly
75160316 NA Solyc01g088327.1 Sly
75162039 NA Solyc01g088505.1 Sly
75151548 NA Solyc01g089855.1 Sly
75154095 NA Solyc01g089903.1 Sly
75154095 NA Solyc01g089907.1 Sly
75163001 NA Solyc01g090135.1 Sly
75153861 NA Solyc01g090225.1 Sly
75154067 NA Solyc01g090645.1 Sly
75155043 NA Solyc01g090925.1 Sly
75158702 NA Solyc01g091145.1 Sly
75116146 NA Solyc01g091165.1 Sly
75156054 NA Solyc01g091165.1 Sly
75154436 NA Solyc01g091385.1 Sly
75155084 NA Solyc01g091435.1 Sly
75162982 NA Solyc01g091465.1 Sly
75162937 NA Solyc01g091655.1 Sly
75160583 NA Solyc01g091705.1 Sly
74536633 NA Solyc01g091705.1 Sly
75156599 NA Solyc01g091715.1 Sly
75162991 NA Solyc01g093965.1 Sly
75162537 NA Solyc01g093975.1 Sly
75162109 NA Solyc01g094085.1 Sly
75162927 NA Solyc01g094085.1 Sly
75162109 NA Solyc01g094085.1 Sly
75162805 NA Solyc01g094237.1 Sly
75162805 NA Solyc01g094237.1 Sly
75162817 NA Solyc01g094315.1 Sly
75162817 NA Solyc01g094315.1 Sly
74536149 NA Solyc01g094315.1 Sly
75153774 NA Solyc01g094655.1 Sly
75116210 NA Solyc01g094725.1 Sly
75163006 NA Solyc01g094835.1 Sly
75162582 NA Solyc01g094965.1 Sly
75162582 NA Solyc01g094965.1 Sly
75145065 NA Solyc01g094965.1 Sly
75163005 NA Solyc01g095695.1 Sly
75158906 NA Solyc01g095695.1 Sly
75163005 NA Solyc01g095695.1 Sly
75162111 NA Solyc01g095745.1 Sly
75162111 NA Solyc01g095745.1 Sly
75162139 NA Solyc01g095903.1 Sly
75161798 NA Solyc01g095907.1 Sly
75157122 NA Solyc01g095995.1 Sly
75141460 NA Solyc01g095995.1 Sly
75153315 NA Solyc01g096015.1 Sly
75162794 NA Solyc01g096175.1 Sly
75152901 NA Solyc01g096175.1 Sly
75162156 NA Solyc01g096185.1 Sly
75163005 NA Solyc01g096193.1 Sly
75163005 NA Solyc01g096197.1 Sly
75152439 NA Solyc01g096197.1 Sly
75163005 NA Solyc01g096197.1 Sly
75160792 NA Solyc01g096435.1 Sly
75158560 NA Solyc01g096475.1 Sly
75156574 NA Solyc01g096865.1 Sly
75157193 NA Solyc01g096865.1 Sly
75160980 NA Solyc01g096865.1 Sly
75162158 NA Solyc01g097155.1 Sly
75141544 NA Solyc01g097155.1 Sly
75156380 NA Solyc01g097195.1 Sly
75162887 NA Solyc01g097425.1 Sly
75158245 NA Solyc01g097555.1 Sly
75160742 NA Solyc01g097825.1 Sly
75162991 NA Solyc01g098065.1 Sly
75156217 NA Solyc01g098455.1 Sly
75152618 NA Solyc01g098523.1 Sly
75162383 NA Solyc01g098527.1 Sly
75162383 NA Solyc01g098527.1 Sly
75145181 NA Solyc01g098527.1 Sly
75162998 NA Solyc01g098645.1 Sly
75157965 NA Solyc01g098645.1 Sly
75156778 NA Solyc01g098665.1 Sly
75162437 NA Solyc01g098725.1 Sly
75162437 NA Solyc01g098725.1 Sly
75156072 NA Solyc01g098805.1 Sly
75161728 NA Solyc01g098813.1 Sly
75157111 NA Solyc01g098813.1 Sly
75160669 NA Solyc01g098985.1 Sly
75162837 NA Solyc01g099163.1 Sly
75162837 NA Solyc01g099163.1 Sly
75162837 NA Solyc01g099167.1 Sly
75161037 NA Solyc01g099385.1 Sly
75153943 NA Solyc01g099415.1 Sly
75153943 NA Solyc01g099483.1 Sly
75153943 NA Solyc01g099487.1 Sly
75159775 NA Solyc01g099615.1 Sly
75162092 NA Solyc01g099675.1 Sly
75156964 NA Solyc01g099715.1 Sly
75159929 NA Solyc01g099745.1 Sly
75162957 NA Solyc01g099865.1 Sly
75157612 NA Solyc01g099925.1 Sly
75162990 NA Solyc01g099925.1 Sly
75162990 NA Solyc01g099925.1 Sly
75162748 NA Solyc01g099925.1 Sly
75153483 NA Solyc01g100045.1 Sly
75152718 NA Solyc01g100095.1 Sly
75156786 NA Solyc01g102265.1 Sly
75162296 NA Solyc01g102285.1 Sly
75160346 NA Solyc01g102435.1 Sly
75160219 NA Solyc01g102585.1 Sly
75152618 NA Solyc01g102633.1 Sly
75162090 NA Solyc01g102675.1 Sly
75162090 NA Solyc01g102685.1 Sly
75162090 NA Solyc01g102685.1 Sly
75162090 NA Solyc01g102685.1 Sly
75132722 NA Solyc01g102705.1 Sly
75162090 NA Solyc02g024065.1 Sly
75162090 NA Solyc02g024065.1 Sly
75162988 NA Solyc01g102875.1 Sly
75162988 NA Solyc01g102875.1 Sly
NA NA Solyc01g102925.1 Sly
75159286 NA Solyc01g103185.1 Sly
75157866 NA Solyc01g103185.1 Sly
75152532 NA Solyc01g103245.1 Sly
75162975 NA Solyc01g103275.1 Sly
75152532 NA Solyc01g103335.1 Sly
75150790 NA Solyc01g103415.1 Sly
75153191 NA Solyc01g103453.1 Sly
75153191 NA Solyc01g103457.1 Sly
75162876 NA Solyc01g103605.1 Sly
75162115 NA Solyc01g103605.1 Sly
75154368 NA Solyc01g103695.1 Sly
75141528 NA Solyc01g103695.1 Sly
75163006 NA Solyc01g103785.1 Sly
75163006 NA Solyc01g103785.1 Sly
75162878 NA Solyc01g103803.1 Sly
75162878 NA Solyc01g103803.1 Sly
75161753 NA Solyc01g103807.1 Sly
75160120 NA Solyc01g103862.1 Sly
75160120 NA Solyc01g103862.1 Sly
75156120 NA Solyc01g103864.1 Sly
75156120 NA Solyc01g103866.1 Sly
75161243 NA Solyc01g103866.1 Sly
75154265 NA Solyc01g103866.1 Sly
75160120 NA Solyc01g103868.1 Sly
75160120 NA Solyc01g103868.1 Sly
75161151 NA Solyc01g104015.1 Sly
75153162 NA Solyc01g104055.1 Sly
75162137 NA Solyc01g104185.1 Sly
75162137 NA Solyc01g104185.1 Sly
75153829 NA Solyc01g104185.1 Sly
75145161 NA Solyc01g104355.1 Sly
75160147 NA Solyc01g104417.1 Sly
75160147 NA Solyc01g104417.1 Sly
75159760 NA Solyc01g104432.1 Sly
75160147 NA Solyc01g104436.1 Sly
75160147 NA Solyc01g104438.1 Sly
75160147 NA Solyc01g104439.1 Sly
75160147 NA Solyc01g104446.1 Sly
75160147 NA Solyc01g104448.1 Sly
75160147 NA Solyc01g104448.1 Sly
75157589 NA Solyc01g104525.1 Sly
75162004 NA Solyc01g104685.1 Sly
75160263 NA Solyc01g104725.1 Sly
75162718 NA Solyc01g104775.1 Sly
75151290 NA Solyc01g104775.1 Sly
75162718 NA Solyc01g104775.1 Sly
75158824 NA Solyc01g104935.1 Sly
75161181 NA Solyc01g105165.1 Sly
75162396 NA Solyc01g105225.1 Sly
75162715 NA Solyc01g105435.1 Sly
75162715 NA Solyc01g105435.1 Sly
75143484 NA Solyc01g105545.1 Sly
75159453 NA Solyc01g105545.1 Sly
75147086 NA Solyc01g105605.1 Sly
75145169 NA Solyc01g105823.1 Sly
75153513 NA Solyc01g105827.1 Sly
75145169 NA Solyc01g105827.1 Sly
75139374 NA Solyc01g106055.1 Sly
75162991 NA Solyc01g106173.1 Sly
75162991 NA Solyc01g106175.1 Sly
75162991 NA Solyc01g106177.1 Sly
75162991 NA Solyc01g106177.1 Sly
75161153 NA Solyc01g106205.1 Sly
75156105 NA Solyc01g106253.1 Sly
75162800 NA Solyc01g106257.1 Sly
75153212 NA Solyc01g106375.1 Sly
75162041 NA Solyc01g106395.1 Sly
75159489 NA Solyc01g106805.1 Sly
75154492 NA Solyc01g106943.1 Sly
75158404 NA Solyc01g106947.1 Sly
75162664 NA Solyc01g106947.1 Sly
75159520 NA Solyc01g107273.1 Sly
75159520 NA Solyc01g107277.1 Sly
75116065 NA Solyc01g107395.1 Sly
75158401 NA Solyc01g107415.1 Sly
75161055 NA Solyc01g107415.1 Sly
75160364 NA Solyc01g107415.1 Sly
75160731 NA Solyc01g107695.1 Sly
75163003 NA Solyc01g107853.1 Sly
75163003 NA Solyc01g107857.1 Sly
75163003 NA Solyc01g107857.1 Sly
75157897 NA Solyc01g107961.1 Sly
75157897 NA Solyc01g107962.1 Sly
75157897 NA Solyc01g107964.1 Sly
75157897 NA Solyc01g107966.1 Sly
75157897 NA Solyc01g107968.1 Sly
75160289 NA Solyc01g108035.1 Sly
75160289 NA Solyc01g108035.1 Sly
75154490 NA Solyc01g108043.1 Sly
75160147 NA Solyc01g108047.1 Sly
75161790 NA Solyc01g108087.1 Sly
75161790 NA Solyc01g108087.1 Sly
75162913 NA Solyc01g108745.1 Sly
75162913 NA Solyc01g108745.1 Sly
75162913 NA Solyc01g108745.1 Sly
75162913 NA Solyc01g108765.1 Sly
75162913 NA Solyc01g108765.1 Sly
75141297 NA Solyc01g108935.1 Sly
75162974 NA Solyc01g108975.1 Sly
