,MCO,EN,V,MZ,QC,X35S
Os01g0105700,0.56458565,0.908014929,0.597364899,0.367288717,0.161718641,0.036202027
Os01g0105800,0,0.238968023,1.92878536,0.813577178,1.398437238,2.007436217
Os01g0105900,32.83841316,25.82224845,28.55050137,19.9003366,12.45957607,14.8356479
Os01g0106200,15.21957772,9.282642825,21.45152077,40.60801892,57.28122625,39.22161238
Os01g0106300,2.006177706,1.942347835,5.531244964,5.193532501,7.818425835,1.478727272
Os01g0106400,10.26404827,17.22699904,15.21251254,18.0582499,115.7034217,27.05339481
Os01g0106500,11.44040822,15.38994843,12.59301916,8.786206746,7.470421386,3.141916486
Os01g0106600,0.38331247,1.139669856,0.452452464,0.81149251,0.070852833,1.121639397
Os01g0106700,7.3965812,5.566408598,6.679936391,1.869805448,2.959010172,2.022217063
Os01g0106750,9.462214307,18.57420557,7.094748103,3.319175657,10.11761543,2.766231277
Os01g0106800,39.86244129,35.25040517,33.59024434,40.1087491,44.71510817,30.15851159
Os01g0106900,11.36089157,16.94567778,12.20546273,36.55915943,11.15610236,248.9081947
Os01g0107000,7.710089805,9.250590426,9.493242899,13.33246296,14.07452322,21.07379971
Os01g0107400,14.90638101,19.56486811,17.89484583,11.98357237,14.15688139,2.79105495
Os01g0107700,0,0.728003997,0.610512084,0.521505012,1.450739187,0.088028938
Os01g0107750,0.869874448,0.215673561,0.516373116,0,0,0.095181205
Os01g0107801,0,0,0,0,0,0
Os01g0107900,12.65824921,13.09439601,12.82415874,14.24637983,15.79730562,22.90426183
Os01g0108000,7.027907518,6.823934724,6.979424968,6.62284689,29.57865833,10.9453049
Os01g0108200,5.941588605,6.328445724,8.704610728,11.91300128,14.63342781,14.02470935
Os01g0108400,0,0,0,0.032602024,0,0.05814749
Os01g0108500,0,0,0,0,0,0
Os01g0108600,1.560820295,2.253715703,2.128940551,3.054847711,2.668301861,3.732325658
Os01g0108700,0,0,0,0,0,0
Os01g0108800,7.462099397,7.030434501,9.330073803,4.399737739,5.364535919,1.232084962
Os01g0109000,4.962116062,4.463533943,3.188978371,0.456350333,0.86085387,0.296989498
Os01g0109201,0,1.550771573,0,1.904531295,0,2.827572844
Os01g0109300,3.880688623,3.608319917,6.549016337,1.903743325,3.652850672,3.596650114
Os01g0109366,0,0.993359034,0,0,0,0
Os01g0109432,0,0,1.425390946,0.263653314,0.278333943,0.550354878
Os01g0109500,0.693268482,0,1.286252006,0.079113252,1.060473576,0.236181819
Os01g0109700,31.10547465,26.86793601,28.02207571,35.54003815,36.0190018,36.69715137
Os01g0109750,3.375469416,4.037978785,4.307240178,3.438492863,1.97885901,4.306333633
Os01g0110050,0,1.205557606,0.795342926,0.157209942,0.504068034,0.307290607
Os01g0110100,2.215079844,4.114058828,3.128643122,2.003615242,2.746706246,2.782106049
Os01g0110200,9.44721373,13.20681553,11.77066382,25.31983747,333.4123269,16.97956499
Os01g0110400,23.94218959,32.3115153,28.35486769,48.63130732,20.69126975,60.1960178
Os01g0110500,5.004459503,3.653899825,4.230447964,5.297456842,6.543152282,2.175649092
Os01g0110600,0,0.758848477,1.272457692,0,0.321729379,0
Os01g0110700,0.177639803,0.369430293,0.10786266,0.316598376,0.054478622,0.347236471
Os01g0110800,0.39835685,0.358807245,0.136978164,0.547269139,0.620893865,0.658396424
Os01g0111000,0,0,0,0,0,0
Os01g0111100,0.714809904,1.638933162,0.522899437,1.485157527,0.521664637,7.731258765
Os01g0111200,14.29930314,13.16167476,14.99072939,16.18239857,20.68936107,13.62885694
Os01g0111300,3.577826846,4.214023453,5.01446666,1.861537798,2.790634643,1.198737125
Os01g0111400,1.708193835,2.095355401,1.069343677,1.372138568,1.54117826,1.152841814
Os01g0111500,3.94276731,5.251203291,5.926931391,5.261933526,1.42243726,0.469680067
Os01g0111600,0,0.181581218,0,0,1.286777845,0.039806998
Os01g0111700,0.458144989,0,1.723673662,1.496066815,0.48575011,11.69984265
Os01g0111800,9.257276194,7.05998768,9.543378707,13.20907987,5.807180153,11.63754917
Os01g0111900,16.02082686,18.08980299,19.44461705,80.1610317,44.81448661,56.54694087
Os01g0112000,5.867034878,1.353179676,0.530977828,6.92519871,11.03455782,1.846151488
Os01g0112050,0,0.845619182,0.718343887,0.169122896,0.203253707,0.091167644
Os01g0112100,0.577238311,1.302959328,0.537851112,0.905456836,1.50021119,0.554531133
Os01g0112201,1.153543145,0.869496337,1.425401995,3.011838018,2.546598514,1.744525505
Os01g0112300,7.349800593,5.812721263,6.628102773,5.964784543,6.789125779,4.859137573
Os01g0112400,0.416292372,1.487118068,0.292976593,0.228622808,0.65471175,0.21507582
Os01g0112500,32.92305918,46.63670967,33.55679173,17.20615603,18.29028479,28.6165253
Os01g0112600,0,0,0.99418664,0.149447356,0.187881164,0.127923623
Os01g0112800,0.387056769,0.258182617,0.272405469,0.162864786,0.295242602,0
Os01g0113000,0.330526125,0.162486796,0.275475569,0.10109665,0.122036363,0
Os01g0113150,0.11817509,0.121997161,0.278952442,0.027286344,0,0.012464832
Os01g0113200,0.772020455,0.88654673,1.589823031,1.602374349,1.1075032,2.372510928
Os01g0113300,0.387231963,1.51822241,1.175631153,1.336494147,0.571678374,1.733952743
Os01g0113325,0.669526948,0.345625925,2.616867611,0,0.336036628,0
Os01g0113350,0.314904829,0.446075306,0.185852263,0.414364405,0.087312346,0.671675235
Os01g0113400,4.154277534,2.231437794,2.642943579,1.205341861,1.098217277,0.899325036
Os01g0113450,0,0.619638548,3.86E-07,0.087009335,0.043355221,0.243835043
Os01g0113500,0.826712103,0.654190996,0.159120553,0.327833745,0.182478851,0.345192604
Os01g0113600,3.115918931,3.117708505,2.433763871,0.741423562,1.990962771,0.454930807
Os01g0113650,0,1.149260666,1.874415573,0.837378104,0.344211353,1.379574014
Os01g0113700,7.683918423,8.736065063,8.498600384,10.76839755,3.207046816,26.11218347
Os01g0113750,0,0.33634126,1.282485826,0.058971146,0.293320962,0
Os01g0113800,2.38108001,1.649277981,0.716133102,2.095688173,0.43081296,4.759631559
Os01g0113900,0,0,0,0,0,0
Os01g0113950,0,0,0,0,0,0.026286656
Os01g0114000,0,0,0,0,0,1.88E-07
Os01g0114050,0,0,0,0,0,0
Os01g0114100,10.50384934,13.52427055,14.84086089,11.77038822,3.888691792,18.98235219
Os01g0114150,0.765734024,0,0,0.230442305,0.1440544,0.086560134
Os01g0114200,0.870184314,0.939618548,2.107210177,0.510825437,0.745875573,0.071170605
Os01g0114300,2.009514409,1.956192812,1.689867018,1.918114733,0.557740808,4.988494868
Os01g0114400,0,0,0,0,0,0.266137188
Os01g0114402,0,0,0,0,0,0
Os01g0114550,0.342096587,0.154376656,0,0.028462458,0.053574779,0.114042057
Os01g0114600,0,0.160914167,0.509335973,0.069699358,0,0.060595421
Os01g0114650,0,0.182790557,0.30281505,0.059058988,0.124582038,0
Os01g0114700,0,0,0,0,0,0
Os01g0114800,0.474891604,0.545947069,0.326590214,0.203516292,0.111250279,0.067858566
Os01g0114900,0,0,0,0.026090731,0,0
Os01g0115100,0.559923756,0.715439742,0.199944996,0.145177237,0.184750017,0.067572693
Os01g0115200,7.168289292,3.274543696,0.944441943,0.370156626,0.408480899,0.99466256
Os01g0115300,3.898626587,5.160824696,2.295835978,0.568784926,1.372427604,0.673592971
Os01g0115500,0,0,0,0.053455981,0,0.040582798
Os01g0115533,0,0,0,0,0,0
Os01g0115566,0,0,0,0,0,0.05981788
Os01g0115600,0,0,0,0.024314418,0,0.125413821
Os01g0115700,0,0,0,0,0,0.028418967
Os01g0115725,0,0,0,0,0,0
Os01g0115750,0,0,0,0,0,0
Os01g0115752,0,0,0,0,0,0
Os01g0115800,2.515754997,3.639577831,2.942010577,1.496891886,1.145074983,3.447473427
Os01g0115900,0.363551327,0.590377174,0.80272395,0.974640992,0.360588048,5.424619398
Os01g0115950,0.983303853,0.944213815,0.894443655,0.403464931,0.212050325,0.083120247
Os01g0116000,0,0.017011292,0,0,0,0
Os01g0116100,0.889896866,2.056222264,1.919279365,0.139396164,0.576505509,1.08902618
Os01g0116101,0,0.063976294,0,0,0,0
Os01g0116200,0,0,0,0,0,0.026338679
Os01g0116250,0,0,0,0,0.065709471,0.029103504
Os01g0116300,0.733053613,0.343734507,0.557168536,0.204806166,0.17242718,0.043990458
Os01g0116400,0,0.292839492,0,0,0,0.217702768
Os01g0116600,12.81034399,15.44537555,15.16675581,11.10733737,13.13743957,10.00496352
Os01g0116650,0,0.166376802,0,0.041552163,0.035946687,0.291361665
Os01g0116800,0.338894446,1.442591069,0,0,0,0.23009639
Os01g0116900,0,0.67973182,0.276367533,0.554804046,0.121476094,2.494622613
Os01g0116901,0.216824031,0.34830221,0,0.205478819,0.095866583,0.268874185
Os01g0117000,0.156051784,0.248936459,0,0.062726227,0.113839413,0.024629892
Os01g0117025,0,0.35678132,0,0.024008397,0,0.05570374
Os01g0117050,2.335991422,3.042633794,2.186673421,0.142200712,0.772307488,0.766342905
Os01g0117100,0.999539562,1.193120439,0.1896953,0.049344008,0.212736008,0.129736543
Os01g0117200,0,0,0,0,0,0
Os01g0117233,0,0,0,0,0,0
Os01g0117266,0,0,0,0,0,0
Os01g0117300,0,0,0,0,0,0.046520742
Os01g0117400,0,0.317832364,0,0.001723729,0.1690282,0.868248231
Os01g0117450,0,0.003334264,0.005171306,0,0.000561356,0
Os01g0117500,0,0,0,0,0,0.087340317
Os01g0117600,0.622365076,0.939623392,0.345363153,0.32540954,0.255049632,1.212440379
Os01g0117650,0,0.446123297,0.379450289,5.60E-08,0.081344386,0.09564956
Os01g0117700,0,0.175399232,0,0.069820264,0,0.186652392
Os01g0117900,0.346980752,0.599857287,0.622693835,0.066794896,0.153378931,0.135303628
Os01g0118000,23.85798741,20.64566336,24.41443187,87.02320679,82.68855525,75.09831387
Os01g0118033,0,0,0,0,0,0
Os01g0118066,1.31078033,1.097311716,1.19129351,0.987761209,1.345080046,1.429758687
Os01g0118100,12.29137384,10.8951083,9.828931441,12.16256852,14.69667657,10.78451465
Os01g0118300,6.890934371,7.2122723,11.12833501,5.186079804,1.937837653,0.829066839
Os01g0118350,0.765054627,0.36795424,2.000485587,0.276267772,0.422907671,0.077009794
Os01g0118400,65.18204657,61.73296001,79.17045494,56.81116296,16.98134333,25.34765871
Os01g0118600,12.65275605,7.918731759,9.074691051,4.460738922,2.636049694,1.849025653
Os01g0118700,56.1319891,45.75044694,55.11509542,36.68273851,15.04865802,28.75243379
Os01g0119000,27.09419494,27.00034626,30.50657193,24.79125789,14.87220237,4.954128716
Os01g0119050,6.789099551,5.949343751,4.668978534,2.664851865,1.250431947,3.653985771
Os01g0119100,25.58398799,26.29305084,36.46309846,24.15092957,8.336154873,12.27388133
Os01g0119500,4.648210326,4.484653766,2.855949229,7.89514934,7.647689154,10.38866566
Os01g0119800,0.274078446,0.491572576,0.2989733,0.119840883,0.141093869,0.103132193
Os01g0120300,4.661052156,4.831128575,3.482244752,1.342012984,2.35356017,5.860919172
Os01g0120400,14.64135906,11.49328571,9.094333999,16.38055157,15.41360209,29.0772161
Os01g0120500,1.705184139,2.912342259,2.547541924,3.796059517,3.521954029,17.98840966
Os01g0120600,4.729194619,5.084889961,6.499199785,4.4091703,3.616080551,3.981119372
Os01g0120700,20.93243836,28.08974217,19.35443166,7.937740161,12.68260216,5.2095425
Os01g0120800,74.0423429,53.4589396,54.52025011,82.30881615,97.41473158,52.47369552
Os01g0121000,2.253121694,1.210402442,5.911988983,3.466715448,0.963241143,1.100742884
Os01g0121100,18.38699756,18.73561842,17.86264376,15.74737919,16.03074014,14.60661969
Os01g0121200,11.02365841,15.94079972,11.29971268,10.86993964,10.48398364,6.771025347
Os01g0121300,5.438931637,6.399953192,7.717926188,4.732109581,7.986598296,5.615144413
Os01g0121400,0.549126551,0,1.163607023,0,0,0.067946353
Os01g0121500,1.518763219,4.41696425,4.717274624,13.49744124,1.973147334,18.47901446
Os01g0121600,23.36851392,19.61382719,18.03488067,27.23847027,6.563110998,43.94276845
Os01g0121700,7.693487483,6.14916376,6.985625976,10.7513168,4.88309885,14.19382411
Os01g0121800,14.80577207,9.641162304,12.74656028,8.271581058,12.49969614,6.804772034
Os01g0121900,0,0,0,0,0,0
Os01g0121950,0,0,0,0,0,0
Os01g0122000,0,0.469496966,0,0.060543317,0.157501023,0.181232579
Os01g0122200,0,0,0.201283279,0.14393677,0.146567703,0.04014333
Os01g0122367,1.623763556,1.159366577,0,0.474927721,0.478160196,0.129049509
Os01g0122534,0,0,0,0,0,0
Os01g0122701,0,0,0,0,0,0
Os01g0123500,0,0,0,0,0,0
Os01g0123700,0,0,0,0,0,0
Os01g0123800,0,0,0,0,0,0
Os01g0123900,0,0,0,0.05669479,0,0
Os01g0124000,0,0,0,0.114274496,0,0.046861476
Os01g0124100,5.153991148,2.824252139,4.850469231,32.67455453,7.8361248,65.78541817
Os01g0124200,42.36517435,35.98842296,32.88610708,353.7970059,73.47595436,350.7640717
Os01g0124401,22.72526152,21.38559865,29.11187821,147.3021834,26.91033985,27.17333896
Os01g0124550,0,0.274956432,0,0.018502334,0.024613328,0.074165983
Os01g0124600,0,1.534186546,0,0.502025844,0.28205532,0.70021398
Os01g0124650,14.34524628,18.37675711,12.5471547,75.18401424,26.52794295,193.4448926
Os01g0124700,12.61833211,2.978667485,18.09787992,67.83019161,7.142988075,100.5177498
Os01g0124900,0,0,0,0,0,0
Os01g0125000,0,0,0,0,0,0
Os01g0125500,0,0,0,0,0,0
Os01g0125550,0.302911457,0.776424957,0,0,0.059657412,0
Os01g0125600,3.925316979,4.558204736,2.468136053,9.449468341,54.29766816,1.644661591
Os01g0125700,2.304365587,0.414424826,1.158365115,1.938424891,2.698223348,2.32755418
Os01g0125800,9.158698013,9.275912636,8.646803724,20.0192425,60.89355071,13.83583805
Os01g0125850,0,0,0,0.090121754,0,0
Os01g0125900,10.43083922,9.637252641,6.889210858,13.3645617,14.8461318,14.43150377
Os01g0126000,0,0,1.258250663,0.188835181,0,0.174262829
Os01g0126100,3.609959159,3.402860814,4.641759764,17.0020813,1.530021927,4.067451271
Os01g0126200,0,0.150852172,0,0.638214668,0.087317151,1.231874583
Os01g0126401,0,0,0.200926701,0.057092289,0,0.124438614
Os01g0126600,0.668141714,0.511728017,0,0.10518325,0.135369376,0.287258504
Os01g0126900,4.483365518,4.434705217,5.930786934,14.34934446,1.190928823,2.471978795
Os01g0127000,0,0,0.428986735,0.092368986,0,0.560580229
Os01g0127100,0.240254358,0,0,0.096672527,0.047317282,0.128868697
Os01g0127200,0.163607354,0,0.373746267,0,0.151491702,0.040346535
Os01g0127300,3.488953189,2.477967002,4.361361447,6.526770584,4.855419478,15.66729999
Os01g0127400,1.200559024,0.532149747,0.659422269,0.264224438,0.61312714,1.558424777
Os01g0127450,0,0.40637313,1.993690133,0.267178137,0,0
Os01g0127500,0,0.284051814,0,0.036991987,0.115609394,0
Os01g0127600,66.08412488,40.51859542,43.78357179,266.9917486,544.5933983,9.844050915
Os01g0127700,1.403908564,1.75731833,1.467587369,0.87673447,0.551998272,2.159459205
Os01g0127900,2.358651112,3.312948383,2.321277828,2.903544861,0.808458399,1.037578322
Os01g0128000,0.229208513,0.428780814,0.722726224,0.829898,1.521086515,2.191313876
Os01g0128100,0.36455055,0.244278541,0.303584802,0.331474057,0.580900715,0.14364066
Os01g0128200,6.668576304,3.27185083,7.494293596,4.748045571,6.302003819,2.668341862
Os01g0128250,0.577328367,0.401433517,1.57920281,0.017065486,0,0
Os01g0128300,14.11931273,12.64339468,15.02896508,6.69294121,5.836805983,2.816936702
Os01g0128400,41.39822573,46.61383636,53.98902687,86.43726943,99.23434061,68.74216929
Os01g0128700,1.693736043,2.873548413,1.324967514,2.545170049,1.29026199,4.318399603
Os01g0128800,7.736357124,9.854151394,8.483021674,8.096500531,5.839687561,13.24757432
Os01g0129200,0,0,0,0,0,0
Os01g0129500,3.819182981,3.106157551,4.292335695,2.053548637,1.165462914,0.870944091
Os01g0129550,1.301566166,0.253295514,0,0.562015762,0.269145798,0.29795578
Os01g0129600,0.482506906,3.227907741,0,1.2874603,1.110318614,0.313016241
Os01g0129800,0,0.885468646,0,0,0,0.499767206
Os01g0130000,25.85339371,28.27674819,25.26479707,66.86212822,20.13158999,89.10747652
Os01g0130100,4.770277928,5.719672538,2.058400379,0.73989972,0.821809145,0
Os01g0130200,2.141289671,3.286132579,2.920119564,9.23346374,8.089639652,12.27939288
Os01g0130400,4.363403431,4.476602044,1.825463541,15.63404435,1.04994008,7.916974873
Os01g0130500,0.322393703,1.246160687,5.625467257,1.07265918,0.453416279,2.261884001
Os01g0130900,1.032186975,1.470395999,4.555913907,1.90604751,5.01825356,0.917874883
Os01g0131250,0,0,0,0,0,0
Os01g0131300,9.442803627,9.556772606,12.86670191,41.1569341,13.14139336,73.74442718
Os01g0131450,56.09892603,60.0196231,72.39373663,23.10627177,32.69758734,22.54447864
Os01g0131600,56.59848828,71.39020013,38.33319701,18.73810327,28.14002006,16.43904447
Os01g0131800,9.754898437,8.099330469,5.750295376,11.20737151,9.032408757,9.451855635
Os01g0131900,0,0,0,1.304084605,1.574790387,0
Os01g0132000,110.1319186,83.74445179,70.01864027,372.4692412,55.20650622,649.0962812
Os01g0132050,0,0,0,0.015171736,0.042470482,0
Os01g0132100,0,0,0.174377656,0,0.045484574,0
Os01g0132200,0,0,0,0.428413112,2.1302328,0.499534022
Os01g0132400,0,0,0,0.041234202,0,0
Os01g0132500,0.731331899,3.639911545,0.476776852,2.041837278,1.217469356,0.666345057
Os01g0132700,5.33703896,3.429660452,0.82374551,3.609169701,3.817698811,2.319257813
Os01g0132766,12.87111041,14.47425581,12.02865997,28.08538085,25.57389232,29.14496802
Os01g0132800,6.290912727,5.244105838,7.658720533,2.981297981,2.093877616,7.081975548
Os01g0133100,2.984585684,3.249384585,2.59669633,2.745995634,7.294501745,1.153278782
Os01g0133200,8.373269664,5.113102144,6.29691319,3.283238761,4.493171601,1.279528469
Os01g0133400,21.2863574,17.09509236,17.58040232,61.92899944,38.46070623,65.03543421
Os01g0133500,8.119911864,9.171891749,9.384217048,10.48441988,9.9377245,9.295905775
Os01g0133600,0,0.133319151,0.539536759,0.03849768,0,0.029226763
Os01g0133650,0,0,0.290796962,0.208015803,0,0
Os01g0133700,0,0.650877787,0,0.120005511,0,0.071345482
Os01g0133766,0,0,0,0,0,0
Os01g0133799,0,1.65E-05,0,0.185571169,0,2.88E-07
Os01g0133832,0,1.863589791,0.510687345,4.368406214,3.955269984,0.485268183
Os01g0133866,1.428540406,0.741322746,2.71619183,2.085206009,1.513952235,0.086094376
Os01g0133900,1.913554616,2.446087902,5.130794761,5.256983833,4.121949928,0.751754867
Os01g0134200,0.682398056,1.161298809,0.470987288,0.249769647,0.277217413,0.224989819
Os01g0134500,7.469686551,5.620599856,8.674586796,16.95372351,28.93421205,4.721366509
Os01g0134700,19.47519611,24.65849523,16.74316968,15.69283914,7.119523658,17.86986137
Os01g0134800,0,0,0,0.327516883,17.76983893,0.195731005
Os01g0134850,0,0,0,0.248510975,16.506185,0.153256124
Os01g0134900,12.52069593,13.3423032,12.45943444,19.34434598,184.4095553,10.45801894
Os01g0135000,0.254511724,0.311646173,0.223835648,0.145441699,1.058516868,0.164656715
Os01g0135600,0,0.173497275,0.350087554,0.22120357,0.227282228,0.501311878
Os01g0135700,3.582964246,1.858351145,2.283314743,5.786383285,4.669847162,11.12099009
Os01g0135800,0,0.499124535,0,0.030674718,0.191733418,0
Os01g0135900,2.86995562,4.942858216,4.036892456,10.27694593,153.9822463,41.16242777
Os01g0136000,0,0,0,0,0.468890905,0
Os01g0136050,0,0,0,0,0,0.325262645
Os01g0136100,0.554831083,0.493452759,0.390476985,0.196379229,1.047031433,4.00391494
Os01g0136200,0,0,0.434961798,0.097078047,0.233041224,0.151785738
Os01g0136300,0.638833274,1.96611055,2.045647084,1.319683853,0.524555964,2.263080538
Os01g0136400,20.54577628,9.46479172,24.93583717,10.97827012,2.506852876,11.92053682
Os01g0136450,2.609967816,1.050047679,0.486910312,0.075631151,0.52161175,0.203902395
Os01g0136500,15.33399706,4.871873679,8.773775418,6.321517733,1.331257804,8.042957423
Os01g0136502,0,0.531870304,0,0,0,0
Os01g0136600,23.5751688,22.04226301,24.33514098,9.026492036,9.092310964,3.044710027
Os01g0136700,0.865949989,0.520854689,0.523820898,0.538996341,0.165470819,0.589866492
Os01g0136800,4.494077905,4.44774383,4.664630538,4.038634231,1.317763243,6.951700804
Os01g0136850,0.465522475,0,0.105239583,0,0.082321846,0
Os01g0136900,0,0,0.231128137,0.111395177,0.255732762,0.584195942
Os01g0137066,0,0.976340434,0,0,0,0.387371778
Os01g0137125,0,0,0,0.119232077,0,0.831613723
Os01g0137150,0,0,0,0.098062453,0,0
Os01g0137200,0.600660283,2.638534534,0.422730857,0.196976994,0.185392963,1.459067572
Os01g0137232,0,0,1.137099474,0.251889205,0.070340761,0.417005236
Os01g0137250,0,0,0.391206291,0.125771024,0.073930251,1.097119446
Os01g0137266,0,0.392722614,0,0.29304271,0.006498733,0.247913896
Os01g0137282,0,0,0.411872755,0.189653964,0.357622535,1.071497114
Os01g0137300,0.383916313,0.625686686,0.690945228,0.131582057,0.16853104,0.144667346
Os01g0137400,0.112619359,0.296335486,0,0.137536462,0,0.646036779
Os01g0137500,0,0.055246583,0.343190919,0.03066113,0.021222383,0.017199556
Os01g0137550,1.195921427,0.243933737,0,0.036773444,0.486015301,0.07594209
Os01g0137700,3.817414677,3.072423798,1.322134593,0.228527304,0.635250528,0.125831897
Os01g0137750,0,0,0,0,0,0
Os01g0137800,0.591030786,1.626536995,0.852445035,0.080113749,0.481906049,0.060170175
Os01g0137875,0.304579816,0.528290257,0,0,0.37272392,0.056328495
Os01g0137950,0,1.545536917,0,0,0,0.479927505
Os01g0138000,0,0,0,0.371324546,0.173242729,0.142348358
Os01g0138100,0.403899636,0.366869925,0,0.167206506,0.494264905,0.042606773
Os01g0138232,0,0.474202247,0,0,0.09741861,0.261585761
Os01g0138300,0.383842256,0.291715117,0,0.734550132,0.165580732,2.586659435
Os01g0138350,0.464938172,0.509623972,0,0.455659431,0.421889019,0.623190039
Os01g0138400,3.761629849,6.24471366,3.075934879,6.026524581,1.326019919,11.48314856
Os01g0138451,0,0,0.832763877,0,0.15139124,0
Os01g0138500,1.09437565,1.489777204,1.463884142,0.972654667,0.294370009,0.832520795
Os01g0138600,0.705446676,1.061785619,1.813283218,0.456604115,0.655154588,0.542867447
Os01g0138800,7.898384101,13.18725347,11.61486346,12.73024429,6.042250643,13.42751231
Os01g0138900,23.60202509,22.00375866,25.77355662,44.53275259,15.85019135,58.12116179
Os01g0139000,0,2.03133915,2.524737798,2.424371875,0,0.649725229
Os01g0139200,22.30285896,27.25573863,25.42816288,43.1606859,26.2754114,65.35811679
Os01g0139600,0.477924889,0.584432904,0,0.625784924,3.534049567,0.611115745
Os01g0139700,0,0.794717942,0,0.3285616,0.323450543,1.107520398
Os01g0139900,0,0,0.928703321,0.30109516,0.384736994,1.79970875
Os01g0140100,2.281485383,2.493910794,2.435342796,8.207647267,20.17223707,3.766777877
Os01g0140400,4.5593918,5.385825106,7.101987826,7.802346503,6.316863003,2.285558843
Os01g0140500,40.99125515,45.71788204,68.0984849,116.5069127,115.0642519,61.67052835
Os01g0140700,0,0.431918132,0,0,0,0.069286947
Os01g0141000,2.881785839,2.790023932,4.74082778,6.108603027,1.80178517,21.65842856
Os01g0141100,37.5440722,50.28689612,50.92533867,86.88117561,81.47154025,90.17754212
Os01g0141150,0,0,0,0.441491222,1.1240281,0.670385535
